id,edad,ciudad,educacion,ingresos_mensuales,estilo_vida,frecuencia_consumo,preferencia_sabor,interes_salud,segmento
1,22,Quito,Universitario,850,Activo,Alta,Frutal,Alto,Joven saludable urbano
2,30,Guayaquil,Posgrado,1100,Equilibrado,Media,Menta,Alto,Joven profesional consciente
3,27,Cuenca,Universitario,950,Activo,Alta,Cítrico,Medio,Joven saludable urbano
4,19,Quito,Bachillerato,600,Deportista,Alta,Menta,Alto,Joven saludable urbano
5,34,Guayaquil,Posgrado,1300,Equilibrado,Media,Hierbas,Alto,Joven profesional consciente
6,28,Cuenca,Universitario,900,Activo,Alta,Frutal,Alto,Joven saludable urbano
7,21,Quito,Universitario,750,Activo,Alta,Frutal,Medio,Joven saludable urbano
8,25,Cuenca,Bachillerato,700,Deportista,Alta,Cítrico,Alto,Joven saludable urbano
9,31,Guayaquil,Posgrado,1200,Equilibrado,Media,Menta,Alto,Joven profesional consciente
10,33,Cuenca,Universitario,1000,Equilibrado,Media,Hierbas,Alto,Joven profesional consciente
11,26,Quito,Universitario,850,Activo,Alta,Cítrico,Medio,Joven saludable urbano
12,35,Guayaquil,Posgrado,1500,Equilibrado,Baja,Frutal,Medio,Joven profesional consciente
13,23,Cuenca,Bachillerato,700,Deportista,Alta,Menta,Alto,Joven saludable urbano
14,29,Quito,Universitario,950,Activo,Alta,Hierbas,Alto,Joven saludable urbano
15,32,Guayaquil,Posgrado,1250,Equilibrado,Media,Cítrico,Medio,Joven profesional consciente
16,20,Quito,Bachillerato,620,Deportista,Alta,Frutal,Alto,Joven saludable urbano
17,24,Cuenca,Universitario,820,Activo,Alta,Menta,Alto,Joven saludable urbano
18,28,Guayaquil,Posgrado,1000,Equilibrado,Media,Hierbas,Alto,Joven profesional consciente
19,19,Quito,Bachillerato,580,Deportista,Alta,Cítrico,Medio,Joven saludable urbano
20,35,Cuenca,Posgrado,1400,Equilibrado,Baja,Frutal,Medio,Joven profesional consciente
21,40,Quito,Universitario,1700,Equilibrado,Media,Menta,Alto,Adulto profesional saludable
22,45,Guayaquil,Posgrado,2000,Relajado,Baja,Hierbas,Alto,Adulto profesional saludable
23,50,Cuenca,Universitario,1800,Relajado,Baja,Frutal,Medio,Adulto tradicional saludable
24,38,Quito,Posgrado,1600,Activo,Media,Cítrico,Alto,Adulto profesional saludable
25,42,Guayaquil,Universitario,1550,Equilibrado,Baja,Hierbas,Alto,Adulto profesional saludable
26,48,Cuenca,Bachillerato,1200,Relajado,Baja,Menta,Medio,Adulto tradicional saludable
27,55,Quito,Universitario,2100,Equilibrado,Baja,Hierbas,Alto,Adulto profesional saludable
28,60,Guayaquil,Bachillerato,950,Relajado,Baja,Frutal,Medio,Adulto mayor saludable
29,65,Cuenca,Secundaria,800,Relajado,Baja,Menta,Alto,Adulto mayor saludable
30,58,Quito,Universitario,1300,Equilibrado,Baja,Cítrico,Alto,Adulto mayor saludable
